,0
0,2237.0
1,2239.395
2,2237.2983
3,2236.6968
4,2236.0679
5,2236.193
6,2235.5999
7,2234.7153
8,2233.8057
9,2233.7046
10,2233.8274
11,2233.4834
12,2231.4998
13,2229.3704
14,2229.3237
15,2225.6418
16,2220.1353
17,2217.5132
18,2216.5642
19,2217.0518
20,2217.422
21,2218.3
22,2219.7861
23,2219.5532
24,2219.8892
25,2218.3284
26,2217.3408
27,2217.3782
28,2219.4033
29,2220.1697
30,2219.4875
31,2219.913
32,2221.8938
33,2224.2278
34,2224.9153
35,2224.8945
36,2224.153
37,2224.005
38,2224.8625
39,2222.4656
40,2219.0244
41,2218.581
42,2216.9185
43,2215.9807
44,2216.7039
45,2218.0083
46,2220.8335
47,2222.133
48,2221.8206
49,2219.911
50,2217.412
51,2218.971
52,2220.1323
53,2219.938
54,2219.4617
55,2217.966
56,2217.9482
57,2217.585
58,2217.6057
59,2217.1812
60,2215.5002
61,2214.4172
62,2213.421
63,2210.271
64,2205.8325
65,2203.639
66,2202.386
67,2203.4456
68,2205.2244
69,2208.3965
70,2210.9407
71,2212.0366
72,2213.2031
73,2214.506
74,2215.8643
75,2218.8484
76,2221.0059
77,2220.8025
78,2221.4175
79,2220.0645
80,2219.1472
81,2221.0032
82,2225.0464
83,2227.9607
84,2228.1194
85,2228.7473
86,2230.442
87,2228.2424
88,2224.2944
89,2222.2544
90,2220.0195
91,2218.2798
92,2218.2773
93,2221.207
94,2225.2747
95,2225.7566
96,2225.496
97,2223.9307
98,2223.5437
99,2223.038
100,2220.7334
101,2219.521
102,2220.904
103,2223.2678
104,2225.903
105,2230.0667
106,2232.322
107,2232.7363
108,2232.0083
109,2232.5837
110,2233.604
111,2231.6086
112,2227.6255
113,2225.4973
114,2224.3606
115,2221.9302
116,2219.8416
